SMC;Humusform;HumusformCode;OTh_plot;OTh_pit;SoilType;North;East
Mesic;Mor (type 1);1;3.9;4.8;Podzol;7138137.463;733332.384
Mesic;Mor (type 1);1;4.1;3.8;Podzol;7138134.876;732982.077
Mesic;Mor (type 1);1;8.1;5.3;Regosol;7131132.366;734737.198
Mesic;Mor (type 1);1;6.6;7.3;Regosol;7131138.107;734364.881
Mesic;Mor (type 1);1;6.2;3.3;Regosol;7131477.171;734379.544
Mesic;Mor (type 1);1;7.7;6.7;Regosol;7130431.944;732283.39
Dry;Mor (type 1);1;7.2;8.3;Regosol;7130430.83;732633.766
Mesic;No humus layer;0;2;0;Podzol;7135679.798;727380.354
Moist;Peat;7;99;99;Histosol;7135680.432;727728.89
Wet;Peat;7;99;99;Histosol;7135327.572;727379.488
Wet;Peat;7;99;99;Histosol;7135328.683;727727.143
Moist;Peaty Mor;6;20.8;20;Gleysol;7134631.245;729834.803
Mesic-moist;Peat;7;88.2;30;Histosol;7134981.289;729479.615
Mesic-moist;Peat;7;90.4;99;Histosol;7137432.422;734022.913
Mesic;Mor (type 1);1;17.3;4.8;Podzol;7137786.142;733676.274
Mesic;Mor (type 1);1;11.5;14;Podzol;7137432.301;733678.655
Mesic-moist;Mor (type 2);2;7.6;9.3;Regosol;7129384.303;735432.324
Dry;Mor (type 1);1;3.3;5.3;Podzol;7129382.184;735081.428
Mesic;Mor (type 1);1;4.9;3.4;Regosol;7129032.622;735083.226
Mesic;Mor (type 2);2;8.5;9.3;Podzol;7127982.483;734033.41
Dry;Mor (type 1);1;4.7;6.7;Podzol;7127984.549;735080.133
Moist;Peat;7;99;99;Histosol;7136723.216;730531.861
Moist;Peat;7;99;99;Histosol;7137088.311;730529.815
Mesic;Mor (type 1);1;3.6;7;Podzol;7136731.25;733329.144
Mesic-moist;Peat;7;99;99;Histosol;7136732.417;732967.088
Mesic;Mor (type 1);1;5;7;Podzol;7137087.53;732978.842
Mesic;Mor (type 1);1;3.8;8.7;Regosol;7137083.991;733337.561
Mesic;Mor (type 1);1;9.8;8;Podzol;7137779.743;732630.094
Mesic;Mor (type 1);1;4.7;5.2;Podzol;7137784.892;732283.786
Mesic-moist;Peaty Mor;6;13.3;11.3;Gleysol;7137411.928;732270.212
Mesic;Mor (type 1);1;12.3;8.7;Podzol;7137434.453;732630.518
Moist;Peat;7;54;99;Histosol;7136731.37;730179.998
Mesic;Mor (type 1);1;7.6;6.7;Podzol;7137085.699;730175.561
Mesic;Mor (type 1);1;10.8;6.7;Gleysol;7132177.652;735080.94
Mesic;Mor (type 1);1;10.4;12.7;Podzol;7132179.211;735454.614
Mesic;Mor (type 1);1;10.8;6.7;Regosol;7131836.105;735424.707
Mesic;Mor (type 1);1;7.7;4.7;Regosol;7131485.971;735779.221
Mesic;Mor (type 1);1;9.5;5.3;Podzol;7131130.178;736130.255
Dry;Mor (type 1);1;10.3;7;Histosol;7132529.148;736122.245
Mesic;Mor (type 1);1;6.2;5;Podzol;7132536.328;735779.722
Mesic;Mor (type 1);1;5;6.7;Podzol;7132886.207;736127.745
Mesic;Mor (type 1);1;7.1;3.7;Podzol;7133230.314;735431.616
Moist;Mor (type 1);1;32.8;22;Regosol;7133233.194;735083.716
Mesic;Mor (type 1);1;6.3;7.7;Podzol;7133577.628;735431.417
Moist;Peaty Mor;6;28.8;29;Podzol;7133581.587;735079.572
