SMC;Humusform;HumusformCode;OTh_plot;OTh_pit;SoilType;North;East
Mesic;Mor (type 1);1;3.9;5.2;Regosol;7128682.011;735789.567
Mesic;Mor (type 1);1;6.8;10;Regosol;7128333.12;735781.338
Mesic;Mor (type 1);1;7.2;7;Regosol;7136377.567;729479.418
Mesic;Mor (type 2);2;10.8;8.3;Podzol;7136730.445;732630.881
Mesic;Mor (type 2);2;10.8;10.7;Podzol;7136738.105;732276.898
Mesic;Mor (type 1);1;8.5;10.7;Podzol;7137081.485;732280.286
Mesic;Mor (type 1);1;6;14.3;Podzol;7129383.515;730529.537
Mesic;Mor (type 1);1;8.2;8;Podzol;7130081.14;736136.945
Mesic;Mor (type 1);1;9.1;10.7;Regosol;7128685.594;736131.768
Moist;Peat;7;19.1;31;Regosol;7128335.35;736131.359
Mesic;Mor (type 1);1;6.2;7.3;Regosol;7132180.57;735781.509
Mesic;Mor (type 1);1;14.9;24;Podzol;7133931.387;736485.276
Mesic;Mor (type 1);1;9.8;10.3;Podzol;7133233.649;731232.186
Mesic;Mor (type 1);1;35.7;31;Gleysol;7133227.538;730882.06
