SampleDepth;cN;cC;C.N.ratio;North;East
0;1.06;36.48;34.4;7127986.143;735780.773
0;0.8;43.99;55;7133930.484;731230.02
0;2.15;39.9;18.6;7133232.247;734378.727
0;0.57;29.72;52.1;7130427.422;734729.191
0;1.26;44.75;35.5;7131828.784;730177.873
0;1.04;43.82;42.1;7129730.698;733678.339
0;0.62;26.18;42.2;7132883.287;731578.159
0;0.69;25.81;37.4;7134630.612;732981.952
0;0.71;25.21;35.5;7133587.492;735774.275
0;1.04;39.78;38.3;7130435.704;735772.723
0;0.89;48.42;54.4;7133929.849;731582.081
0;0.87;26.6;30.6;7130780.96;734730.833
0;1.01;33.17;32.8;7132533.354;730880.151
0;0.92;45.33;49.3;7134632.81;731571.93
0;0.74;37.46;50.6;7132182.223;731579.302
0;0.53;24.87;46.9;7134281.092;730882.544
0;0.94;34.74;37;7133589.944;734736.639
0;1.52;51.56;33.9;7134630.866;731930.209
0;0.94;38.54;41;7132535.864;731928.16
0;0.93;33.4;35.9;7133930.214;733689.269
0;0.88;37.14;42.2;7130788.309;730538.104
0;0.98;26.65;27.2;7128332.216;735429.105
0;0.89;47.9;53.8;7136738.183;729829.802
0;2.12;54.03;25.5;7135333.048;731229.105
0;0.93;33.02;35.5;7134284.312;729480.102
0;1.37;45.05;32.9;7138483.695;732631.472
0;0.73;36.71;50.3;7128685.594;736131.768
0;1.27;48.19;37.9;7133232.641;733680.573
0;1.09;44.69;41;7132529.63;731581.177
0;0.95;46.91;49.4;7133931.208;735085.369
0;1.02;41.76;40.9;7135682.235;729830.516
0;0.59;22.55;38.2;7130429.528;731929.796
0;0.89;45.52;51.1;7134631.929;730528.738
0;1.23;43.5;35.4;7128333.12;735781.338
0;0.83;43.9;52.9;7132884.035;732277.414
0;1;36.49;36.5;7128682.303;735430.8
0;1.25;48.51;38.8;7133224.315;732279.272
0;1.14;48.97;43;7133927.093;728420.6
0;0.92;45.94;49.9;7137088.151;731936.199
0;1.21;48.45;40;7133236.881;735782.295
0;1.07;34.34;32.1;7130781.607;734382.123
0;0.66;32.15;48.7;7130431.066;730181.297
0;0.71;35.99;50.7;7133204.258;731611.094
0;0.72;20.29;28.2;7134281.941;735436.425
0;1.07;36.12;33.8;7130081.14;736136.945
0;1.23;42.16;34.3;7131481.41;732278.391
0;1.08;44.42;41.1;7129733.321;732628.713
0;1.04;46.08;44.3;7136740.304;731224.918
0;0.47;17.62;37.5;7128682.011;735789.567
0;1.02;31.85;31.2;7129028.418;734728.613
0;1.37;45.2;33;7134626.777;735768.299
0;0.66;26.3;39.8;7132180.57;735781.509
0;1.06;50.63;47.8;7132529.488;731227.832
0;1.3;51.14;39.3;7134275.783;735081.208
0;1.01;50.93;50.4;7134279.03;731222.068
0;1.17;44.93;38.4;7130083.767;730882.685
0;0.96;28.37;29.6;7134271.763;732630.598
0;1.4;32.72;23.4;7133932.606;731936.463
0;1.14;51.24;44.9;7130782.645;735778.404
0;0.83;41.97;50.6;7130083.424;731229.77
0;0.95;32.53;34.2;7130430.196;732976.239
0;1.33;48.4;36.4;7136727.643;735081.911
0;1.21;45.08;37.3;7132180.344;731932.458
0;0.98;48.96;50;7129735.813;735081.25
0;1.56;51.07;32.7;7136732.417;732967.088
0;0.46;47.92;104.2;7136723.216;730531.861
0;2.41;53.3;22.1;7137432.422;734022.913
0;1.41;47.28;33.5;7137077.845;729133.044
0;1.4;51.81;37;7136731.37;730179.998
0;1.39;48.39;34.8;7135327.572;727379.488
0;1.3;33.61;25.9;7132886.77;733334.965
0;2.44;51.8;21.2;7138131.956;731934.14
0;1.12;40.98;36.6;7132536.328;735779.722
0;0.96;39.81;41.5;7135689.856;729123.4
0;0.95;41.91;44.1;7132182.118;729481.945
0;1;25.43;25.4;7130429.85;730879.456
0;1.52;47.65;31.3;7133581.587;735079.572
0;0.93;34.24;36.8;7128329.887;734717.649
0;2.02;43.98;21.8;7135682.299;732985.252
0;1.46;49.8;34.1;7135680.432;727728.89
0;1.38;40.97;29.7;7134982.07;735420.05
0;0.88;32.56;37;7131132.309;730177.252
0;1.1;41.17;37.4;7131132.366;734737.198
0;1.57;31.12;19.8;7132886.845;730183.833
0;0.93;42.13;45.3;7132877.386;730525.835
0;0.86;48.95;56.9;7131130.472;732982.991
0;0.98;45.96;46.9;7134981.878;728081.832
0;0.83;37.77;45.5;7134643.946;734041.543
0;0.82;34.6;42.2;7130779.768;733680.768
0;1.33;51.49;38.7;7137434.768;730883.393
0;1.55;50.51;32.6;7135329.039;730179.024
0;1.82;49.44;27.2;7135684.825;733328.213
0;1.13;44.66;39.5;7132531.276;730180.416
0;1.18;49.49;41.9;7130080.332;731926.787
0;1.31;47.9;36.6;7127982.483;734033.41
0;1.01;43.49;43.1;7132882.195;732979.121
0;1.4;43.54;31.1;7129729.804;731931.474
0;1.88;52.69;28;7138494.814;731924.215
0;1.17;39.3;33.6;7131138.107;734364.881
0;1.32;37.39;28.3;7131127.927;733328.184
0;1.33;48.94;36.8;7127984.549;735080.133
